Pitch,Position,Velocity,Length
79.0,95040.0,100,240.0
47.0,95040.0,100,960.0
77.0,95280.0,100,240.0
75.0,95520.0,100,240.0
74.0,95760.0,100,240.0
79.0,96000.0,100,240.0
39.0,96000.0,100,960.0
77.0,96240.0,100,240.0
79.0,96480.0,100,240.0
75.0,96720.0,100,240.0
79.0,96960.0,100,240.0
51.0,96960.0,100,960.0
74.0,97200.0,100,240.0
79.0,97440.0,100,240.0
72.0,97680.0,100,240.0
71.0,97920.0,100,240.0
50.0,97920.0,100,960.0
69.0,98160.0,100,240.0
71.0,98400.0,100,240.0
80.0,98640.0,100,240.0
71.0,98880.0,100,240.0
43.0,98880.0,100,960.0
79.0,99120.0,100,240.0
71.0,99360.0,100,240.0
77.0,99600.0,100,240.0
75.0,99840.0,100,240.0
36.0,99840.0,100,960.0
74.0,100080.0,100,240.0
75.0,100320.0,100,240.0
79.0,100560.0,100,240.0
71.0,100800.0,100,240.0
53.0,100800.0,100,960.0
69.0,101040.0,100,240.0
71.0,101280.0,100,240.0
79.0,101520.0,100,240.0
72.0,101760.0,100,240.0
51.0,101760.0,100,960.0
71.0,102000.0,100,240.0
72.0,102240.0,100,240.0
79.0,102480.0,100,240.0
74.0,102720.0,100,240.0
55.0,102720.0,100,960.0
72.0,102960.0,100,240.0
74.0,103200.0,100,240.0
77.0,103440.0,100,240.0
79.0,103680.0,100,240.0
39.0,103680.0,100,960.0
77.0,103920.0,100,240.0
79.0,104160.0,100,240.0
82.0,104400.0,100,240.0
74.0,104640.0,100,240.0
56.0,104640.0,100,960.0
72.0,104880.0,100,240.0
74.0,105120.0,100,240.0
82.0,105360.0,100,240.0
75.0,105600.0,100,240.0
55.0,105600.0,100,960.0
74.0,105840.0,100,240.0
75.0,106080.0,100,240.0
82.0,106320.0,100,240.0
77.0,106560.0,100,240.0
58.0,106560.0,100,960.0
75.0,106800.0,100,240.0
77.0,107040.0,100,240.0
80.0,107280.0,100,240.0
77.0,107520.0,100,240.0
50.0,107520.0,100,960.0
80.0,107760.0,100,240.0
79.0,108000.0,100,240.0
77.0,108240.0,100,240.0
76.0,108480.0,100,240.0
58.0,108480.0,100,960.0
77.0,108720.0,100,240.0
79.0,108960.0,100,240.0
80.0,109200.0,100,240.0
82.0,109440.0,100,240.0
55.0,109440.0,100,960.0
85.0,109680.0,100,240.0
84.0,109920.0,100,240.0
82.0,110160.0,100,240.0
84.0,110400.0,100,240.0
52.0,110400.0,100,960.0
82.0,110640.0,100,240.0
80.0,110880.0,100,240.0
79.0,111120.0,100,240.0
80.0,111360.0,100,240.0
53.0,111360.0,100,960.0
79.0,111600.0,100,240.0
80.0,111840.0,100,240.0
84.0,112080.0,100,240.0
76.0,112320.0,100,240.0
46.0,112320.0,100,960.0
74.0,112560.0,100,240.0
76.0,112800.0,100,240.0
84.0,113040.0,100,240.0
77.0,113280.0,100,240.0
44.0,113280.0,100,960.0
76.0,113520.0,100,240.0
77.0,113760.0,100,240.0
84.0,114000.0,100,240.0
79.0,114240.0,100,240.0
48.0,114240.0,100,960.0
77.0,114480.0,100,240.0
79.0,114720.0,100,240.0
82.0,114960.0,100,240.0
70.0,115200.0,100,240.0
55.0,115200.0,100,960.0
74.0,115440.0,100,240.0
79.0,115680.0,100,240.0
78.0,115920.0,100,240.0
79.0,116160.0,100,240.0
38.0,116160.0,100,960.0
74.0,116400.0,100,240.0
75.0,116640.0,100,240.0
73.0,116880.0,100,240.0
74.0,117120.0,100,240.0
54.0,117120.0,100,960.0
78.0,117360.0,100,240.0
81.0,117600.0,100,240.0
79.0,117840.0,100,240.0
81.0,118080.0,100,240.0
38.0,118080.0,100,960.0
74.0,118320.0,100,240.0
75.0,118560.0,100,240.0
73.0,118800.0,100,240.0
63.0,119040.0,100,240.0
48.0,119040.0,100,960.0
67.0,119280.0,100,240.0
72.0,119520.0,100,240.0
71.0,119760.0,100,240.0
72.0,120000.0,100,240.0
43.0,120000.0,100,960.0
67.0,120240.0,100,240.0
68.0,120480.0,100,240.0
66.0,120720.0,100,240.0
67.0,120960.0,100,240.0
47.0,120960.0,100,960.0
71.0,121200.0,100,240.0
74.0,121440.0,100,240.0
72.0,121680.0,100,240.0
74.0,121920.0,100,240.0
43.0,121920.0,100,960.0
67.0,122160.0,100,240.0
68.0,122400.0,100,240.0
66.0,122640.0,100,240.0
67.0,122880.0,100,240.0
48.0,122880.0,100,960.0
72.0,123120.0,100,240.0
75.0,123360.0,100,240.0
74.0,123600.0,100,240.0
75.0,123840.0,100,240.0
43.0,123840.0,100,960.0
67.0,124080.0,100,240.0
68.0,124320.0,100,240.0
66.0,124560.0,100,240.0
67.0,124800.0,100,240.0
47.0,124800.0,100,960.0
74.0,125040.0,100,240.0
77.0,125280.0,100,720.0
43.0,125760.0,100,960.0
80.0,126000.0,100,240.0
79.0,126240.0,100,240.0
77.0,126480.0,100,240.0
74.0,126720.0,100,240.0
55.0,126720.0,100,960.0
79.0,126960.0,100,240.0
82.0,127200.0,100,240.0
81.0,127440.0,100,240.0
82.0,127680.0,100,240.0
38.0,127680.0,100,960.0
74.0,127920.0,100,240.0
75.0,128160.0,100,240.0
73.0,128400.0,100,240.0
74.0,128640.0,100,240.0
54.0,128640.0,100,960.0
81.0,128880.0,100,240.0
84.0,129120.0,100,720.0
38.0,129600.0,100,960.0
75.0,129840.0,100,240.0
74.0,130080.0,100,240.0
72.0,130320.0,100,240.0
84.0,130560.0,100,240.0
54.0,130560.0,100,960.0
75.0,130800.0,100,240.0
74.0,131040.0,100,720.0
57.0,131520.0,100,960.0
76.0,131760.0,100,240.0
78.0,132000.0,100,240.0
79.0,132240.0,100,240.0
81.0,132480.0,100,240.0
54.0,132480.0,100,960.0
71.0,132720.0,100,240.0
72.0,132960.0,100,720.0
50.0,133440.0,100,960.0
75.0,133680.0,100,240.0
74.0,133920.0,100,240.0
72.0,134160.0,100,240.0
77.0,134400.0,100,240.0
47.0,134400.0,100,960.0
68.0,134640.0,100,240.0
67.0,134880.0,100,720.0
50.0,135360.0,100,960.0
69.0,135600.0,100,240.0
71.0,135840.0,100,240.0
72.0,136080.0,100,240.0
74.0,136320.0,100,240.0
43.0,136320.0,100,960.0
64.0,136560.0,100,240.0
65.0,136800.0,100,720.0
47.0,137280.0,100,960.0
68.0,137520.0,100,240.0
67.0,137760.0,100,240.0
65.0,138000.0,100,240.0
75.0,138240.0,100,240.0
48.0,138240.0,100,960.0
68.0,138480.0,100,240.0
67.0,138720.0,100,720.0
46.0,139200.0,100,960.0
70.0,139440.0,100,240.0
72.0,139680.0,100,240.0
74.0,139920.0,100,240.0
72.0,140160.0,100,240.0
45.0,140160.0,100,960.0
67.0,140400.0,100,240.0
66.0,140640.0,100,720.0
38.0,141120.0,100,960.0
87.0,141360.0,100,240.0
86.0,141600.0,100,240.0
84.0,141840.0,100,240.0
80.0,142080.0,100,240.0
41.0,142080.0,100,960.0
73.0,142320.0,100,240.0
72.0,142560.0,100,720.0
39.0,143040.0,100,960.0
75.0,143280.0,100,240.0
77.0,143520.0,100,240.0
79.0,143760.0,100,240.0
77.0,144000.0,100,240.0
38.0,144000.0,100,960.0
72.0,144240.0,100,240.0
71.0,144480.0,100,720.0
43.0,144960.0,100,960.0
68.0,145200.0,100,240.0
67.0,145440.0,100,240.0
65.0,145680.0,100,240.0
70.0,145920.0,100,240.0
55.0,145920.0,100,480.0
74.0,146160.0,100,240.0
79.0,146400.0,100,240.0
51.0,146400.0,100,480.0
81.0,146640.0,100,240.0
82.0,146880.0,100,480.0
48.0,146880.0,100,480.0
82.0,147360.0,100,80.16000000000001
50.0,147360.0,100,480.0
81.0,147600.0,100,240.0
79.0,147840.0,100,240.0
51.0,147840.0,100,960.0
72.0,148080.0,100,240.0
71.0,148320.0,100,720.0
50.0,148800.0,100,960.0
74.0,149040.0,100,240.0
75.0,149280.0,100,240.0
77.0,149520.0,100,240.0
75.0,149760.0,100,240.0
48.0,149760.0,100,480.0
79.0,150000.0,100,240.0
84.0,150240.0,100,240.0
44.0,150240.0,100,480.0
86.0,150480.0,100,240.0
87.0,150720.0,100,480.0
41.0,150720.0,100,480.0
86.0,151200.0,100,480.0
43.0,151200.0,100,480.0
84.0,151680.0,100,240.0
44.0,151680.0,100,960.0
77.0,151920.0,100,240.0
76.0,152160.0,100,720.0
43.0,152640.0,100,960.0
79.0,152880.0,100,240.0
80.0,153120.0,100,240.0
82.0,153360.0,100,240.0
75.0,153600.0,100,240.0
48.0,153600.0,100,960.0
74.0,153840.0,100,240.0
75.0,154080.0,100,240.0
79.0,154320.0,100,240.0
84.0,154560.0,100,480.0
58.0,154560.0,100,960.0
87.0,155040.0,100,720.0
57.0,155520.0,100,960.0
79.0,155760.0,100,240.0
78.0,156000.0,100,720.0
55.0,156480.0,100,960.0
79.0,156720.0,100,240.0
81.0,156960.0,100,240.0
82.0,157200.0,100,240.0
72.0,157440.0,100,240.0
32.0,157440.0,100,960.0
71.0,157680.0,100,240.0
72.0,157920.0,100,240.0
76.0,158160.0,100,240.0
77.0,158400.0,100,480.0
44.0,158400.0,100,960.0
80.0,158880.0,100,720.0
38.0,159360.0,100,960.0
72.0,159600.0,100,240.0
71.0,159840.0,100,720.0
53.0,160320.0,100,960.0
72.0,160560.0,100,240.0
74.0,160800.0,100,240.0
75.0,161040.0,100,240.0
79.0,161280.0,100,240.0
39.0,161280.0,100,960.0
77.0,161520.0,100,240.0
75.0,161760.0,100,240.0
77.0,162000.0,100,240.0
79.0,162240.0,100,240.0
51.0,162240.0,100,960.0
75.0,162480.0,100,240.0
79.0,162720.0,100,240.0
73.0,162960.0,100,240.0
72.0,163200.0,100,240.0
44.0,163200.0,100,480.0
70.0,163440.0,100,240.0
72.0,163680.0,100,240.0
55.0,163680.0,100,480.0
82.0,163920.0,100,240.0
72.0,164160.0,100,240.0
53.0,164160.0,100,480.0
80.0,164400.0,100,240.0
72.0,164640.0,100,240.0
51.0,164640.0,100,480.0
79.0,164880.0,100,240.0
80.0,165120.0,100,240.0
41.0,165120.0,100,960.0
79.0,165360.0,100,240.0
77.0,165600.0,100,240.0
79.0,165840.0,100,240.0
80.0,166080.0,100,240.0
53.0,166080.0,100,960.0
77.0,166320.0,100,240.0
80.0,166560.0,100,240.0
75.0,166800.0,100,240.0
73.0,167040.0,100,240.0
58.0,167040.0,100,480.0
72.0,167280.0,100,240.0
73.0,167520.0,100,240.0
44.0,167520.0,100,480.0
84.0,167760.0,100,240.0
73.0,168000.0,100,240.0
43.0,168000.0,100,480.0
82.0,168240.0,100,240.0
73.0,168480.0,100,240.0
41.0,168480.0,100,480.0
80.0,168720.0,100,240.0
75.0,168960.0,100,240.0
48.0,168960.0,100,960.0
74.0,169200.0,100,240.0
72.0,169440.0,100,240.0
74.0,169680.0,100,240.0
